,RND_INIT = 1,RND_INIT = 2,RND_INIT = 1,RND_INIT = 4,RND_INIT = 5
117,,,,,8869.0859380000002
118,,,,,8869.0859380000002
119,,,,,8869.0859380000002
120,,,,,8869.0859380000002
121,,,,,8869.0859380000002
122,,,,,8869.0859380000002
123,,,,,8869.0859380000002
124,,,,,8869.0859380000002
125,,,,,8869.0859380000002
126,,,,,8869.0859380000002
127,,,,,8869.0859380000002
128,,,,,8869.0859380000002
129,,,,,8869.0859380000002
130,,,,,8869.0859380000002
131,,,,,8869.0859380000002
132,,,,,8869.0859380000002
133,,,,,8869.0859380000002
134,,,,,8869.0859380000002
135,,,,,8869.0859380000002
136,,,,,8869.0859380000002
137,,,,,8869.0859380000002
138,,,,,8869.0859380000002
139,,,,,8869.0859380000002
140,,,,,8869.0859380000002
141,,,,,8869.0859380000002
142,,,,,8869.0859380000002
143,,,,,153533.71875
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,5017.0410160000001,,,,
,5017.0410160000001,,,,
,5017.0410160000001,,,,
,5017.0410160000001,,,,
40,5017.0410160000001,,,,
41,5017.0410160000001,,,,
42,5017.0410160000001,,,,
43,5017.0410160000001,,,,
44,5017.0410160000001,,,,
45,5017.0410160000001,,,,
46,5017.0410160000001,,,,
47,5017.0410160000001,,,,
48,5017.0410160000001,,,,
49,5017.0410160000001,,,,
50,5017.0410160000001,,,,
51,5017.0410160000001,,,,
52,5017.0410160000001,,,,
53,5017.0410160000001,,,,
54,5017.0410160000001,,,,
55,5017.0410160000001,,,,
56,5017.0410160000001,,,,
57,5017.0410160000001,,,,
58,5017.0410160000001,,,,
59,5017.0410160000001,,,,
60,5017.0410160000001,,,,
61,5017.0410160000001,,,,
62,5017.0410160000001,,,,
63,5017.0410160000001,,,,
64,5017.0410160000001,,,,
65,5017.0410160000001,,,,
66,5017.0410160000001,,,,
67,5017.0410160000001,,,,
68,5017.0410160000001,,,,
69,5017.0410160000001,,,,
70,5017.0410160000001,,,,
71,5017.0410160000001,,,,
72,5017.0410160000001,,,,
73,5017.0410160000001,,,,
74,18781.001952999999,,,,
,,,,,
RND_INIT = 5,,,,,
0,0.111091,,,,
1,0.115314,,,,
2,0.120837,,,,
3,0.127972,,,,
4,0.13752700000000001,,,,
5,0.15053,,,,
6,0.16877600000000001,,,,
7,0.19547999999999999,,,,
8,0.23799999999999999,,,,
9,0.31340699999999999,,,,
10,0.48602000000000001,,,,
11,1.234585,,,,
12,3136.4101559999999,,,,
13,3136.4101559999999,,,,
14,3136.4101559999999,,,,
15,3136.4101559999999,,,,
16,3136.4101559999999,,,,
17,3136.4101559999999,,,,
18,3136.4101559999999,,,,
19,3136.4101559999999,,,,
20,3136.4101559999999,,,,
21,3136.4101559999999,,,,
22,3136.4101559999999,,,,
23,3136.4101559999999,,,,
24,3136.4101559999999,,,,
25,3136.4101559999999,,,,
26,3385.820068,,,,
27,8869.0859380000002,,,,
28,8869.0859380000002,,,,
29,8869.0859380000002,,,,
30,8869.0859380000002,,,,
31,8869.0859380000002,,,,
32,8869.0859380000002,,,,
33,8869.0859380000002,,,,
34,8869.0859380000002,,,,
35,8869.0859380000002,,,,
36,8869.0859380000002,,,,
37,8869.0859380000002,,,,
38,8869.0859380000002,,,,
39,8869.0859380000002,,,,
40,8869.0859380000002,,,,
41,8869.0859380000002,,,,
42,8869.0859380000002,,,,
43,8869.0859380000002,,,,
44,8869.0859380000002,,,,
45,8869.0859380000002,,,,
46,8869.0859380000002,,,,
47,8869.0859380000002,,,,
48,8869.0859380000002,,,,
49,8869.0859380000002,,,,
50,8869.0859380000002,,,,
51,8869.0859380000002,,,,
52,8869.0859380000002,,,,
